r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			2,7182818285		2,7182818285		0,0000000000
1,50			2,7182818285		2,7182818285		0,0000000000
2,00			2,7182818285		2,7182818285		0,0000000000
2,50			2,7182818285		2,7182818285		0,0000000000
3,00			2,7182818285		2,7182818285		0,0000000000
3,50			2,7182818285		2,7182818285		0,0000000000
4,00			2,7182818285		2,7182818285		0,0000000000
4,50			2,7182818285		2,7182818285		0,0000000000
5,00			2,7182818285		2,7182818285		0,0000000000
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			4,4816890703		4,4816890703		0,0000000000
1,50			4,7559414849		4,4816890703		0,2742524146
2,00			4,8630410234		4,4816890703		0,3813519531
2,50			4,9011320130		4,4816890703		0,4194429427
3,00			4,9047484320		4,4816890703		0,4230593616
3,50			4,8822160694		4,4816890703		0,4005269990
4,00			4,8246263964		4,4816890703		0,3429373261
4,50			4,7097566704		4,4816890703		0,2280676001
5,00			4,4816890703		4,4816890703		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 6,05e-02
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			7,3890560989		7,3890560989		0,0000000000
1,50			8,0350108559		7,3890560989		0,6459547570
2,00			8,3177710780		7,3890560989		0,9287149790
2,50			8,4255019655		7,3890560989		1,0364458666
3,00			8,4340367436		7,3890560989		1,0449806447
3,50			8,3634678620		7,3890560989		0,9744117631
4,00			8,1990005657		7,3890560989		0,8099444667
4,50			7,9011391112		7,3890560989		0,5120830123
5,00			7,3890560989		7,3890560989		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 9,18e-02
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			12,1824939607		12,1824939607		0,0000000000
1,50			13,3962245269		12,1824939607		1,2137305662
2,00			13,9495417468		12,1824939607		1,7670477861
2,50			14,1662251424		12,1824939607		1,9837311817
3,00			14,1805356878		12,1824939607		1,9980417271
3,50			14,0307996455		12,1824939607		1,8483056848
4,00			13,6973559275		12,1824939607		1,5148619668
4,50			13,1212902383		12,1824939607		0,9387962776
5,00			12,1824939607		12,1824939607		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 1,11e-01
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			20,0855369232		20,0855369232		0,0000000000
1,50			22,2028309214		20,0855369232		2,1172939982
2,00			23,1840345905		20,0855369232		3,0984976673
2,50			23,5721877066		20,0855369232		3,4866507834
3,00			23,5945121627		20,0855369232		3,5089752395
3,50			23,3187118757		20,0855369232		3,2331749525
4,00			22,7182186484		20,0855369232		2,6326817252
4,50			21,7030877614		20,0855369232		1,6175508382
5,00			20,0855369232		20,0855369232		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 1,21e-01
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			33,1154519587		33,1154519587		0,0000000000
1,50			36,6971311442		33,1154519587		3,5816791855
2,00			38,3687614704		33,1154519587		5,2533095117
2,50			39,0325520281		33,1154519587		5,9171000694
3,00			39,0675190549		33,1154519587		5,9520670962
3,50			38,5891686543		33,1154519587		5,4737166957
4,00			37,5590619668		33,1154519587		4,4436100081
4,50			35,8351114967		33,1154519587		2,7196595380
5,00			33,1154519587		33,1154519587		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 1,27e-01
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			54,5981500331		54,5981500331		0,0000000000
1,50			60,5741998304		54,5981500331		5,9760497973
2,00			63,3721852459		54,5981500331		8,7740352128
2,50			64,4848952201		54,5981500331		9,8867451870
3,00			64,5406820146		54,5981500331		9,9425319814
3,50			63,7332093729		54,5981500331		9,1350593397
4,00			62,0035737578		54,5981500331		7,4054237247
4,50			59,1224947901		54,5981500331		4,5243447569
5,00			54,5981500331		54,5981500331		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 1,30e-01
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			90,0171313005		90,0171313005		0,0000000000
1,50			99,9251005826		90,0171313005		9,9079692821
2,00			104,5707481058		90,0171313005		14,5536168053
2,50			106,4193729480		90,0171313005		16,4022416475
3,00			106,5096946735		90,0171313005		16,4925633730
3,50			105,1636207429		90,0171313005		15,1464894424
4,00			102,2876227293		90,0171313005		12,2704914288
4,50			97,5075906019		90,0171313005		7,4904593014
5,00			90,0171313005		90,0171313005		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 1,32e-01
r (узлы)		q = u(r) 			q* 					||q-q*|| (погрешность)
1,00			148,4131591026		148,4131591026		0,0000000000
1,50			164,7914527217		148,4131591026		16,3782936191
2,00			172,4760681735		148,4131591026		24,0629090709
2,50			175,5347833818		148,4131591026		27,1216242793
3,00			175,6823181998		148,4131591026		27,2691590972
3,50			173,4514825606		148,4131591026		25,0383234581
4,00			168,6909028418		148,4131591026		20,2777437392
4,50			160,7868191589		148,4131591026		12,3736600563
5,00			148,4131591026		148,4131591026		0,0000000000
ќтносительна€ погрешность ||q*-q|| / ||q*|| = 1,33e-01
